street_number,actual_street_name,Suburb,lprice_diff,lrents_diff,lgroundrents_diff,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914
136,GROVE ROAD,VICTORIA PARK,0.082238098,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,HOLLOWAY ROAD,HOLLOWAY,1.609437912,,,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BURNABY STREET,CHELSEA,0.122602322,,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,BARTHOLOMEW CLOSE,CITY,0.150060695,-0.09531018,,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,STADIUM STREET,CHELSEA,0.21511138,0.117783036,0.182321557,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,BRACKENBURY ROAD,HAMMERSMITH,0.083381609,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,LOWDEN ROAD,HERNE HILL,0.076961041,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,CLOUDESLEY ROAD,ISLINGTON,0.141078598,0,,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,DEVONSHIRE ROAD,HOLLOWAY,0.167054085,0.125163143,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,ALDERSGATE STREET,CITY,-0.048009219,0,,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,FOREST ROAD,DALSTON,0.037740328,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OXFORD ROAD,ISLINGTON,0.21511138,0.105360516,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MEDINA ROAD,HOLLOWAY,0.179585577,0.125163143,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BENWELL ROAD,HOLLOWAY,0.287682073,0.09531018,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PORTLAND ROAD,CANNING TOWN,1.074514737,,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,BARROW HILL ROAD,ST. JOHN'S WOOD,0.077558234,,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,DISRAELI ROAD,EALING,-0.392042088,-0.133531393,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,LAWRENCE ROAD,BOW,-0.135545492,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,WELLESLEY ROAD,KENTISH TOWN,0.219053566,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,SUTHERLAND AVENUE,MAIDA VALE,0.15415068,-0.143100844,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,PARK STREET,STOKE NEWINGTON,0.345745873,0.268263987,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
